lat,lon
10.8525062433,106.771424325
10.8525048183,106.7714242667
10.8525033317,106.77142418
10.852501935,106.7714241917
10.8524671367,106.7714200783
10.8524655583,106.7714197533
10.85246397,106.771419535
10.8524625233,106.7714192283
10.85246115,106.7714191233
10.852428495,106.7714161167
10.8524270667,106.7714160783
10.8524255583,106.7714158117
10.8524241967,106.771415675
10.8524226967,106.7714154933
10.8523905967,106.7714120983
10.8523891533,106.7714119733
10.8523877633,106.771411735
10.8523864983,106.7714117317
10.8523537817,106.7714077933
10.8523524517,106.77140769
10.8523511217,106.7714074617
10.8523498367,106.7714071283
10.8523485083,106.77140716
10.8523169,106.7714028767
10.8523153883,106.7714027
10.8523139467,106.7714025767
10.8523125033,106.7714024183
10.85231105,106.7714023683
10.8522776633,106.771398005
10.8522762883,106.7713979467
10.8522748117,106.771397845
10.85227337,106.7713978217
10.852272085,106.7713976817
10.8522706917,106.7713976433
10.8522404767,106.7713947717
10.852239175,106.7713944483
10.8522377683,106.77139442
10.8522364817,106.7713944083
10.8522351967,106.7713941933
10.8521990833,106.7713900283
10.8521977967,106.77139002
10.8521964633,106.7713898333
10.8521953133,106.771389705
10.8521941317,106.77138956
10.8521928683,106.7713895967
10.8521651167,106.7713879733
10.8521639267,106.7713880783
10.852162725,106.7713878483
10.8521614667,106.771387705
10.852133045,106.7713849183
10.852131685,106.7713845917
10.8521303517,106.77138426
10.8521290217,106.771384165
10.852127615,106.7713838283
10.852097075,106.771380215
10.85209577,106.7713800967
10.8520945283,106.7713799533
10.8520931633,106.771379775
10.85209185,106.7713794867
10.8520622667,106.77137542
10.8520610333,106.771375145
10.8520597,106.771374925
10.8520583417,106.7713749533
10.8520570783,106.7713750617
10.8520286933,106.7713716667
10.8520274933,106.7713714983
10.8520261417,106.7713714617
10.8520249083,106.7713712167
10.8520235883,106.7713710817
10.85202243,106.771370945
10.8519945183,106.77136786
10.8519932183,106.7713676767
10.85199199,106.7713675383
10.8519907033,106.7713674317
10.8519894867,106.7713673917
10.8519609983,106.7713641217
10.8519597267,106.7713639433
10.851958505,106.77136381
10.8519572333,106.7713635783
10.8519560283,106.7713634333
10.8519269467,106.771359895
10.8519257367,106.7713596917
10.85192441,106.7713595717
10.85192301,106.7713593533
10.8518900417,106.7713557567
10.8518886317,106.7713555667
10.8518870683,106.7713554233
10.851885575,106.7713554283
10.8518841333,106.7713552333
10.8518506633,106.771351885
10.8518491233,106.7713517733
10.8518476583,106.7713516533
10.8518461617,106.7713515417
10.8518445767,106.7713511633
10.8518088317,106.7713468517
10.8518072667,106.7713466083
10.8518057983,106.771346355
10.851804195,106.7713461567
10.8518026417,106.7713461067
10.8517665583,106.7713409683
10.8517648883,106.7713406217
10.8517632917,106.771340325
10.8517617633,106.7713400917
10.851760125,106.77133996
10.8517225333,106.771335925
10.8517209767,106.7713356067
10.8517193317,106.77133547
10.8517176933,106.7713352333
10.851716065,106.7713351633
10.8516793917,106.771330875
10.851677775,106.7713307183
10.8516762633,106.7713305083
10.8516745917,106.7713303567
10.8516729833,106.7713301333
10.85163498,106.7713261983
10.85163335,106.7713260033
10.85163158,106.77132583
10.8516298583,106.771325655
10.85162819,106.771325415
10.8515895383,106.7713202417
10.851587845,106.7713201467
10.851586185,106.7713199383
10.8515844733,106.7713198017
10.85158278,106.7713196517
10.8515810933,106.7713194333
10.8515430233,106.7713149767
10.8515414583,106.771314805
10.851539855,106.7713146333
10.8515382,106.771314435
10.8515365833,106.771314265
10.8514998833,106.7713120317
10.8514983183,106.7713121283
10.8514967833,106.7713121917
10.8514952333,106.7713122
10.8514628933,106.7713185783
10.8514616167,106.7713191033
10.8514603483,106.7713195383
10.8514591183,106.7713200367
10.8514579383,106.7713206083
10.85145676,106.7713212617
10.8514361567,106.7713405933
10.8514355867,106.77134157
10.8514350533,106.7713425467
10.8514345033,106.7713435717
10.8514263683,106.7713703367
10.85142619,106.771371565
10.85142596,106.7713727817
10.8514258267,106.7713739417
10.85142565,106.771375135
10.8514215,106.7714020333
10.8514212117,106.77140333
10.8514209233,106.7714046617
10.851420615,106.7714059883
10.8514204817,106.7714073483
10.8514138517,106.771439665
10.8514135167,106.771441115
10.8514131317,106.771442595
10.8514127517,106.77144408
10.8514124217,106.7714455567
10.8514041633,106.77147972
10.8514037883,106.7714812717
10.851403315,106.7714826433
10.85140282,106.7714840683
10.85140235,106.7714854583
10.8513929833,106.7715182717
10.85139266,106.7715197183
10.8513922883,106.7715210933
10.8513919767,106.77152256
10.8513916,106.771523975
10.8513826967,106.7715560633
10.8513823433,106.7715574833
10.8513819467,106.7715588533
10.8513815117,106.77156023
10.8513810867,106.7715616317
10.8513720683,106.771595385
10.851371675,106.77159677
10.8513713617,106.7715981917
10.851371115,106.7715996267
10.8513708433,106.77160109
10.8513616217,106.7716351867
10.85136125,106.7716365683
10.851360855,106.7716379583
10.8513604583,106.7716393733
10.8513600833,106.7716407417
10.8513527767,106.7716654017
10.851352315,106.7716667517
10.8513519867,106.77166812
10.8513516533,106.77166949
10.8513512983,106.7716708617
10.8513418733,106.7717106317
10.85134148,106.77171211
10.8513410767,106.7717135467
10.8513406267,106.7717149733
