lat,lon
10.8518870683,106.7713554233
10.8518855750,106.7713554283
10.8518841333,106.7713552333
10.8518506633,106.7713518850
10.8518491233,106.7713517733
10.8518476583,106.7713516533
10.8518461617,106.7713515417
10.8518445767,106.7713511633
10.8518088317,106.7713468517
10.8518072667,106.7713466083
10.8518057983,106.7713463550
10.8518041950,106.7713461567
10.8518026417,106.7713461067
10.8517665583,106.7713409683
10.8517648883,106.7713406217
10.8517632917,106.7713403250
10.8517617633,106.7713400917
10.8517601250,106.7713399600
10.8517225333,106.7713359250
10.8517209767,106.7713356067
10.8517193317,106.7713354700
10.8517176933,106.7713352333
10.8517160650,106.7713351633
10.8516793917,106.7713308750
10.8516777750,106.7713307183
10.8516762633,106.7713305083
10.8516745917,106.7713303567
10.8516729833,106.7713301333
10.8516349800,106.7713261983
10.8516333500,106.7713260033
10.8516315800,106.7713258300
10.8516298583,106.7713256550
10.8516281900,106.7713254150
10.8515895383,106.7713202417
10.8515878450,106.7713201467
10.8515861850,106.7713199383
10.8515844733,106.7713198017
10.8515827800,106.7713196517
10.8515810933,106.7713194333
10.8515430233,106.7713149767
10.8515414583,106.7713148050
10.8515398550,106.7713146333
10.8515382000,106.7713144350
10.8515365833,106.7713142650
10.8514998833,106.7713120317
10.8514983183,106.7713121283
10.8514967833,106.7713121917
10.8514952333,106.7713122000
10.8514628933,106.7713185783
10.8514616167,106.7713191033
10.8514603483,106.7713195383
10.8514591183,106.7713200367
10.8514579383,106.7713206083
10.8514567600,106.7713212617
10.8514361567,106.7713405933
10.8514355867,106.7713415700
10.8514350533,106.7713425467
10.8514345033,106.7713435717
10.8514263683,106.7713703367
10.8514261900,106.7713715650
10.8514259600,106.7713727817
10.8514258267,106.7713739417
10.8514256500,106.7713751350
10.8514215000,106.7714020333
10.8514212117,106.7714033300
10.8514209233,106.7714046617
10.8514206150,106.7714059883
10.8514204817,106.7714073483
10.8514138517,106.7714396650
10.8514135167,106.7714411150
10.8514131317,106.7714425950
10.8514127517,106.7714440800
10.8514124217,106.7714455567
10.8514041633,106.7714797200
10.8514037883,106.7714812717
10.8514033150,106.7714826433
10.8514028200,106.7714840683
10.8514023500,106.7714854583
10.8513929833,106.7715182717
10.8513926600,106.7715197183
10.8513922883,106.7715210933
10.8513919767,106.7715225600
10.8513916000,106.7715239750
10.8513826967,106.7715560633
10.8513823433,106.7715574833
10.8513819467,106.7715588533
10.8513815117,106.7715602300
10.8513810867,106.7715616317
10.8513720683,106.7715953850
10.8513716750,106.7715967700
10.8513713617,106.7715981917
10.8513711150,106.7715996267
10.8513708433,106.7716010900
10.8513616217,106.7716351867
10.8513612500,106.7716365683
10.8513608550,106.7716379583
10.8513604583,106.7716393733
10.8513600833,106.7716407417
10.8513527767,106.7716654017
10.8513523150,106.7716667517
10.8513519867,106.7716681200
10.8513516533,106.7716694900
10.8513512983,106.7716708617
10.8513418733,106.7717106317
10.8513414800,106.7717121100
10.8513410767,106.7717135467
10.8513406267,106.7717149733
10.8513402417,106.7717164700
10.8513399783,106.7717179417
10.8513320983,106.7717506533
10.8513316533,106.7717521000
10.8513312617,106.7717535633
10.8513309300,106.7717550467
10.8513305117,106.7717564583
10.8513218467,106.7717894917
10.8513215383,106.7717909633
10.8513213550,106.7717923667
10.8513210283,106.7717937683
10.8513206717,106.7717952083
10.8513144250,106.7718271233
10.8513141517,106.7718284883
